Carrer / Calle;OBJECTID;Número Finca;created_user;created_date;last_edited_user;last_edited_date;geo_shape;geo_point_2d
PEREZ PUJOL;74944;10;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.37486096374684097, 39.46943838662599], ""type"": ""Point""}";39.46943838662599, -0.37486096374684097
MALVARROSA;74945;64;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.3279860861852388, 39.47965275918023], ""type"": ""Point""}";39.47965275918023, -0.3279860861852388
BALEARES;74951;19;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.355791908584311, 39.463435488709074], ""type"": ""Point""}";39.463435488709074, -0.355791908584311
CARRICOLA;74953;1;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.3869412495985076, 39.452538222853406], ""type"": ""Point""}";39.452538222853406, -0.3869412495985076
RIO;74960;310;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.34055570331616186, 39.42178659897686], ""type"": ""Point""}";39.42178659897686, -0.34055570331616186
LITOGRAFO PASCUAL Y ABAD;74962;7;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.39283705883842457, 39.4515136299948], ""type"": ""Point""}";39.4515136299948, -0.39283705883842457
ALCACER;74964;18;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.4065708006867191, 39.47091977722587], ""type"": ""Point""}";39.47091977722587, -0.4065708006867191
VALLE DE LA BALLESTERA;74966;24;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.39606885218870697, 39.48009540511025], ""type"": ""Point""}";39.48009540511025, -0.39606885218870697
SAGASTA;74967;1ac;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.37314283934549153, 39.469803318781494], ""type"": ""Point""}";39.469803318781494, -0.37314283934549153
MARCONI;74972;S/N;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.4143220669612617, 39.4681051180879], ""type"": ""Point""}";39.4681051180879, -0.4143220669612617
DOCTOR LLUCH;74976;111;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.3282918540634189, 39.46824223059834], ""type"": ""Point""}";39.46824223059834, -0.3282918540634189
CONDE DE ALTEA;74978;4;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.37012780237919124, 39.46508236540653], ""type"": ""Point""}";39.46508236540653, -0.37012780237919124
ALAMEDA;74981;S/N;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.36155668398922686, 39.470273240774816], ""type"": ""Point""}";39.470273240774816, -0.36155668398922686
LUIS BOLINCHES COMPAa (ESCULTOR);74982;S/N;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.34963282866184725, 39.45843529975353], ""type"": ""Point""}";39.45843529975353, -0.34963282866184725
MUSICO CABANILLES;74988;24dupac;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.3898005757323914, 39.444677745469065], ""type"": ""Point""}";39.444677745469065, -0.3898005757323914
JUMILLA;74991;20;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.40473981507111073, 39.4672725560311], ""type"": ""Point""}";39.4672725560311, -0.40473981507111073
REUS;74995;2;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.3848276829945149, 39.4852499819608], ""type"": ""Point""}";39.4852499819608, -0.3848276829945149
MALUQUER;74997;4;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.38504736693905306, 39.462878667814216], ""type"": ""Point""}";39.462878667814216, -0.38504736693905306
FRANCISCO BALDOMA;74998;49;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.3334322969704223, 39.465683836885276], ""type"": ""Point""}";39.465683836885276, -0.3334322969704223
XATIVA;75000;30ac;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.3751883820220822, 39.46705635177765], ""type"": ""Point""}";39.46705635177765, -0.3751883820220822
COLON;75003;72;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.37001841184457024, 39.47058395514124], ""type"": ""Point""}";39.47058395514124, -0.37001841184457024
COLON;75004;80;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.3694426563108055, 39.471108595096204], ""type"": ""Point""}";39.471108595096204, -0.3694426563108055
XUQUER;75009;10;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.35011587525791066, 39.476461662419766], ""type"": ""Point""}";39.476461662419766, -0.35011587525791066
GUILLEM DE CASTRO;75012;1;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.3801098754528511, 39.46822131807123], ""type"": ""Point""}";39.46822131807123, -0.3801098754528511
MICER MASCO;75015;28;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.3627205226235913, 39.47542802111563], ""type"": ""Point""}";39.47542802111563, -0.3627205226235913
MORERES;75016;S/N;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.3340213352652054, 39.45262995928937], ""type"": ""Point""}";39.45262995928937, -0.3340213352652054
BURJASOT;75018;247;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.3962812239366723, 39.495097263051626], ""type"": ""Point""}";39.495097263051626, -0.3962812239366723
OLTA;75028;30;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.3777332453262646, 39.45263543456822], ""type"": ""Point""}";39.45263543456822, -0.3777332453262646
GORGOS;75031;27;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.3512859215145507, 39.47632959454468], ""type"": ""Point""}";39.47632959454468, -0.3512859215145507
PLATA;75032;89;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.3617937125844888, 39.45744632888941], ""type"": ""Point""}";39.45744632888941, -0.3617937125844888
CONDE DE ALTEA;75036;20;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.3683562657094299, 39.465955745512446], ""type"": ""Point""}";39.465955745512446, -0.3683562657094299
GORGOS;75038;16ac;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.35179820682514407, 39.47621476024278], ""type"": ""Point""}";39.47621476024278, -0.35179820682514407
CRUZ DEL CAgAMELAR;75041;1;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.33177906632163673, 39.467911173946746], ""type"": ""Point""}";39.467911173946746, -0.33177906632163673
MEDITERRANEO;75042;19;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.3299853530387243, 39.46779053681811], ""type"": ""Point""}";39.46779053681811, -0.3299853530387243
MEDITERRANEO;75043;14;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.33119360470898845, 39.46777257169973], ""type"": ""Point""}";39.46777257169973, -0.33119360470898845
RAMIRO DE MAEZTU;75046;20;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.3481371317616939, 39.46737512858182], ""type"": ""Point""}";39.46737512858182, -0.3481371317616939
ALMACERA;75050;10;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.3917328830198653, 39.45273890494842], ""type"": ""Point""}";39.45273890494842, -0.3917328830198653
JERONIMA GALES (IMPRESSORA);75051;52;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.39155021930565903, 39.45169205029762], ""type"": ""Point""}";39.45169205029762, -0.39155021930565903
MANUEL BROSETA I PONT (IL.LUSTRE CATEDRATIC);75058;S/N;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.3423858090540642, 39.478775760117436], ""type"": ""Point""}";39.478775760117436, -0.3423858090540642
NARANJOS;75059;S/N;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.34096339161897155, 39.47836501505936], ""type"": ""Point""}";39.47836501505936, -0.34096339161897155
PRIMERO DE MAYO;75062;49ac;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.39107911268432144, 39.44951600303729], ""type"": ""Point""}";39.44951600303729, -0.39107911268432144
BACHILLER;75065;S/N;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.36329545270118174, 39.4824547001001], ""type"": ""Point""}";39.4824547001001, -0.36329545270118174
JOSE MARIA MORTES LERMA;75070;36;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.4036595026058824, 39.462894524985074], ""type"": ""Point""}";39.462894524985074, -0.4036595026058824
CAMPOAMOR;75080;51;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.3457355754670978, 39.47080511392786], ""type"": ""Point""}";39.47080511392786, -0.3457355754670978
FRANCO TORMO;75090;5;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.3901723676598186, 39.45810461666424], ""type"": ""Point""}";39.45810461666424, -0.3901723676598186
SAN FELIPE NERI;75099;3ac;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.353202229802332, 39.469603317983385], ""type"": ""Point""}";39.469603317983385, -0.353202229802332
JOSE SOTO MICO;75100;12ac;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.3886849609457383, 39.440694523298234], ""type"": ""Point""}";39.440694523298234, -0.3886849609457383
DOCTOR SANCHIS BERGON;75101;31;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.38631636207988657, 39.47856913907759], ""type"": ""Point""}";39.47856913907759, -0.38631636207988657
HIERROS;75107;2ac;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.34036907239342673, 39.46248364181794], ""type"": ""Point""}";39.46248364181794, -0.34036907239342673
CONSTITUCION;75109;4;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.37883950756014456, 39.48343774943094], ""type"": ""Point""}";39.48343774943094, -0.37883950756014456
MAESTRO ARAMBUL SANZ;75126;6ac;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.39447661264088935, 39.48206024720474], ""type"": ""Point""}";39.48206024720474, -0.39447661264088935
CONSTITUCION;75131;86;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.3768449491501063, 39.48799163232653], ""type"": ""Point""}";39.48799163232653, -0.3768449491501063
TRES FORQUES;75132;40;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.39279994621261893, 39.46419692233772], ""type"": ""Point""}";39.46419692233772, -0.39279994621261893
ALCAyIZ;75136;4;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.3775002110688492, 39.4917259028721], ""type"": ""Point""}";39.4917259028721, -0.3775002110688492
DEMOCRACIA;75137;38;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.3996161878012976, 39.47365782285048], ""type"": ""Point""}";39.47365782285048, -0.3996161878012976
PUERTO;75142;93;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.35055111279941426, 39.46537671268729], ""type"": ""Point""}";39.46537671268729, -0.35055111279941426
PUERTO;75146;219;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.33909750310531867, 39.46197184531203], ""type"": ""Point""}";39.46197184531203, -0.33909750310531867
PUERTO;75147;265;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.33567532227984664, 39.460954087963025], ""type"": ""Point""}";39.460954087963025, -0.33567532227984664
CONDE DE SALVATIERRA;75161;19;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.3682062255021022, 39.46977231747249], ""type"": ""Point""}";39.46977231747249, -0.3682062255021022
CONDE DE SALVATIERRA;75162;13;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.36870714962652, 39.470513516535476], ""type"": ""Point""}";39.470513516535476, -0.36870714962652
BURJASOT;75165;233;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.3955127127538567, 39.49435448904418], ""type"": ""Point""}";39.49435448904418, -0.3955127127538567
MALVARROSA;75171;124;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.3278991204168173, 39.482717731659946], ""type"": ""Point""}";39.482717731659946, -0.3278991204168173
MALILLA;75173;90;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.3799732320953228, 39.447665485451985], ""type"": ""Point""}";39.447665485451985, -0.3799732320953228
SAGUNTO;75177;1;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.37534149448397225, 39.48185778456121], ""type"": ""Point""}";39.48185778456121, -0.37534149448397225
BONIFACIO FERRER;75181;14;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.3880075994075419, 39.4583935639959], ""type"": ""Point""}";39.4583935639959, -0.3880075994075419
BRASIL;75182;22;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.39690543599358974, 39.47139151260604], ""type"": ""Point""}";39.47139151260604, -0.39690543599358974
SANTOS JUSTO Y PASTOR;75189;124ac;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.34027941827972075, 39.46730556114351], ""type"": ""Point""}";39.46730556114351, -0.34027941827972075
SERRERIA;75190;S/N;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.33488021683999636, 39.46755877193188], ""type"": ""Point""}";39.46755877193188, -0.33488021683999636
MONESTIR DE POBLET;75193;10;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.3924258651361073, 39.485922400583014], ""type"": ""Point""}";39.485922400583014, -0.3924258651361073
PIZARRO;75194;31;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.3713905165854573, 39.46637730848754], ""type"": ""Point""}";39.46637730848754, -0.3713905165854573
PIZARRO;75195;3;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.372677088629014, 39.468196161439586], ""type"": ""Point""}";39.468196161439586, -0.372677088629014
ERNESTO FERRER;75199;15ac;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.3545073422591789, 39.471686088626186], ""type"": ""Point""}";39.471686088626186, -0.3545073422591789
ENRIQUE NAVARRO;75202;21ac;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.3585621208260954, 39.48492008250199], ""type"": ""Point""}";39.48492008250199, -0.3585621208260954
ANTONIO JUAN;75210;4;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.33356408248979513, 39.47262882346829], ""type"": ""Point""}";39.47262882346829, -0.33356408248979513
REINA;75211;88;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.32878152644781733, 39.46744708859672], ""type"": ""Point""}";39.46744708859672, -0.32878152644781733
POETA ALTET;75213;8ac;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.36484237547520915, 39.48612013362647], ""type"": ""Point""}";39.48612013362647, -0.36484237547520915
HONORATO JUAN;75214;10ac;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.3866298717933939, 39.464793711170294], ""type"": ""Point""}";39.464793711170294, -0.3866298717933939
PINTOR SEGRELLES;75215;4ac;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.3861328706544831, 39.46402618061115], ""type"": ""Point""}";39.46402618061115, -0.3861328706544831
REINA;75218;52;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.32901728722933177, 39.46585417778772], ""type"": ""Point""}";39.46585417778772, -0.32901728722933177
SALVADOR LLUCH;75220;26;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.36679056791910647, 39.45905098491991], ""type"": ""Point""}";39.45905098491991, -0.36679056791910647
DOCTOR VICENTE ZARAGOZA;75221;75;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.3580812365627254, 39.48365090625109], ""type"": ""Point""}";39.48365090625109, -0.3580812365627254
CONDE DE ALTEA;75234;42;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.3657442969958035, 39.46692795755476], ""type"": ""Point""}";39.46692795755476, -0.3657442969958035
JOSE MARIA BAYARRI;75238;13;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.4136912683154066, 39.468520515607615], ""type"": ""Point""}";39.468520515607615, -0.4136912683154066
JUAN RAMON JIMENEZ;75239;30;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.37521993621138267, 39.45356643774049], ""type"": ""Point""}";39.45356643774049, -0.37521993621138267
BLASCO IBArEZ;75242;57;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.35033066240675537, 39.47503411418835], ""type"": ""Point""}";39.47503411418835, -0.35033066240675537
AGUSTIN LARA;75245;18;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.3712804504325315, 39.49350632217695], ""type"": ""Point""}";39.49350632217695, -0.3712804504325315
VISITACION;75249;1;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.37728657739540833, 39.48310065391057], ""type"": ""Point""}";39.48310065391057, -0.37728657739540833
LERIDA;75253;30;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.37843661964019015, 39.48389482024265], ""type"": ""Point""}";39.48389482024265, -0.37843661964019015
SANTA ROSA;75256;7;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.3578331508335939, 39.46854482897105], ""type"": ""Point""}";39.46854482897105, -0.3578331508335939
SAGUNTO;75260;116;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.3749706739560066, 39.48699503298227], ""type"": ""Point""}";39.48699503298227, -0.3749706739560066
VINALOPO;75270;5;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.35042991263764944, 39.47718970359309], ""type"": ""Point""}";39.47718970359309, -0.35042991263764944
EMILI PANACH I RAMOS (MILO);75271;1ac;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.3564515051937942, 39.48253712389042], ""type"": ""Point""}";39.48253712389042, -0.3564515051937942
PINTOR FERRANDIS;75272;36;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.3288182524048962, 39.471922785755616], ""type"": ""Point""}";39.471922785755616, -0.3288182524048962
SAN IGNACIO DE LOYOLA;75273;25;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.39045302268573256, 39.47328874839931], ""type"": ""Point""}";39.47328874839931, -0.39045302268573256
PEDRO DE VALENCIA;75274;5ac;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.3376587637197154, 39.468794417328766], ""type"": ""Point""}";39.468794417328766, -0.3376587637197154
FRANCISCO EXIMENIS;75275;51;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.33256359985574113, 39.47070012777951], ""type"": ""Point""}";39.47070012777951, -0.33256359985574113
PUERTO;75277;14;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.35953615198380173, 39.46786766235676], ""type"": ""Point""}";39.46786766235676, -0.35953615198380173
PADRE URBANO;75282;47;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.37009290991262384, 39.488403497871346], ""type"": ""Point""}";39.488403497871346, -0.37009290991262384
RIO BIDASOA;75283;S/N;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.38329218690951794, 39.49678314892918], ""type"": ""Point""}";39.49678314892918, -0.38329218690951794
CARAVACA;75284;19ac;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.35394998006176454, 39.47289141075616], ""type"": ""Point""}";39.47289141075616, -0.35394998006176454
DOCTOR WAKSMAN;75287;29;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.37231578098950885, 39.45631546421631], ""type"": ""Point""}";39.45631546421631, -0.37231578098950885
RIO BIDASOA;75288;56ac;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.38233258209918025, 39.497119992984395], ""type"": ""Point""}";39.497119992984395, -0.38233258209918025
UTIEL;75289;15;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.35822756455377436, 39.485703958902796], ""type"": ""Point""}";39.485703958902796, -0.35822756455377436
SALAMANCA;75292;31;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.36392414611508145, 39.465842224566195], ""type"": ""Point""}";39.465842224566195, -0.36392414611508145
LORCA;75296;14;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.39239469175802727, 39.46790782613405], ""type"": ""Point""}";39.46790782613405, -0.39239469175802727
DOCTOR LLUCH;75297;277;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.3275976125731716, 39.47301355988091], ""type"": ""Point""}";39.47301355988091, -0.3275976125731716
FELIX DEL RIO (ACTIVISTA VEENAL);75298;10;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.3801279891624553, 39.49194718671849], ""type"": ""Point""}";39.49194718671849, -0.3801279891624553
PINTOR VILAR;75300;14;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.37041864894497634, 39.4820158860357], ""type"": ""Point""}";39.4820158860357, -0.37041864894497634
ALFAHUIR;75309;53;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.3586351153557115, 39.49389427566342], ""type"": ""Point""}";39.49389427566342, -0.3586351153557115
JOSE MARIA BAYARRI;75312;7;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.4128613266301949, 39.46854838416527], ""type"": ""Point""}";39.46854838416527, -0.4128613266301949
MALILLA;75320;72;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.3795652344337618, 39.44931814625636], ""type"": ""Point""}";39.44931814625636, -0.3795652344337618
LUIS CANO;75332;5;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.4184860373909884, 39.501380965728536], ""type"": ""Point""}";39.501380965728536, -0.4184860373909884
POBLA DE FARNALS;75335;17;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.3532420834846319, 39.470033196067575], ""type"": ""Point""}";39.470033196067575, -0.3532420834846319
ALAMEDA;75345;21ac;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.3631513844125627, 39.47248006491165], ""type"": ""Point""}";39.47248006491165, -0.3631513844125627
FONTANARES;75348;69;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.396958722261129, 39.462399065128395], ""type"": ""Point""}";39.462399065128395, -0.396958722261129
SAN JOSE DE CALASANZ;75350;28;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.38943303203523055, 39.466931110632174], ""type"": ""Point""}";39.466931110632174, -0.38943303203523055
PEDRO CABANES;75351;104;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.3813563639557467, 39.49367076993057], ""type"": ""Point""}";39.49367076993057, -0.3813563639557467
BURJASOT;75352;9;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.3829072256700371, 39.48338659087185], ""type"": ""Point""}";39.48338659087185, -0.3829072256700371
BURRIANA;75354;4;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.3683034799276724, 39.46442123572109], ""type"": ""Point""}";39.46442123572109, -0.3683034799276724
