Carrer / Calle;OBJECTID;Número Finca;created_user;created_date;last_edited_user;last_edited_date;geo_shape;geo_point_2d
ALCACER;74676;5;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.4069459873982764, 39.47068069460787], ""type"": ""Point""}";39.47068069460787, -0.4069459873982764
ALCACER;74678;42;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.4090389774263461, 39.47138111225897], ""type"": ""Point""}";39.47138111225897, -0.4090389774263461
PERE MARIA ORTS I BOSCH (HISTORIADOR);74681;20;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.41451349635802937, 39.47019014244153], ""type"": ""Point""}";39.47019014244153, -0.41451349635802937
FRANCIA;74682;15;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.3519004413356591, 39.46044377783913], ""type"": ""Point""}";39.46044377783913, -0.3519004413356591
APARISI Y GUIJARRO;74684;12;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.3716479742228615, 39.47509197398926], ""type"": ""Point""}";39.47509197398926, -0.3716479742228615
ALBEROLA;74687;2;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.37038882564659614, 39.45460275646278], ""type"": ""Point""}";39.45460275646278, -0.37038882564659614
ADOR;74688;78;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.3624789041621223, 39.4288805358475], ""type"": ""Point""}";39.4288805358475, -0.3624789041621223
SAN PIO X;74689;3;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.38920328606754495, 39.445620106197964], ""type"": ""Point""}";39.445620106197964, -0.38920328606754495
MUSICO CABANILLES;74694;46;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.39201638466896327, 39.44519310679878], ""type"": ""Point""}";39.44519310679878, -0.39201638466896327
PEDREGUER;74700;5ac;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.3751521795282454, 39.45402587961143], ""type"": ""Point""}";39.45402587961143, -0.3751521795282454
CONDE DE ALTEA;74701;22;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.3680341897356732, 39.46596282073131], ""type"": ""Point""}";39.46596282073131, -0.3680341897356732
SARRION;74706;3;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.37779182796429855, 39.487098541235135], ""type"": ""Point""}";39.487098541235135, -0.37779182796429855
CAMPOS CRESPO;74713;2;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.39087702548571357, 39.45652264942052], ""type"": ""Point""}";39.45652264942052, -0.39087702548571357
OBISPO JAIME PEREZ;74717;15;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.36596112765476424, 39.458849139365626], ""type"": ""Point""}";39.458849139365626, -0.36596112765476424
VALLE DE LA BALLESTERA;74718;43;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.39922436360036107, 39.478495079880965], ""type"": ""Point""}";39.478495079880965, -0.39922436360036107
IMPRESOR LAMBERT PALMART;74720;12;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.3445978188123396, 39.47185057727716], ""type"": ""Point""}";39.47185057727716, -0.3445978188123396
