DISTRICTE;BARRI;GRUP;HABITANTS GRUP;HABITANTS;HABITANTS 20-70;TOTAL;LLIURES;ORA;GUALS;PÀRQUINGS;SOLARS;ALTRES;TURISMES;PLACES/HABITANTS;PLACES/HABITANTS 20-70;PLACES/TURISMES;HABITANTS/TURISMES;HABITANTS 20-70/TURISMES;HABITANTS/HABITANTS 20-70
L'OLIVERETA;Districte;25 - 29;2745;;;;;;;;;;;;;;;;
POBLATS MARITIMS;Districte;25 - 29;3149;;;;;;;;;;;;;;;;
BENIMACLET;Districte;25 - 29;1997;;;;;;;;;;;;;;;;
POBLATS DEL NORD;Districte;25 - 29;340;;;;;;;;;;;;;;;;
CIUTAT VELLA;Districte;30 -34;1922;;;;;;;;;;;;;;;;
EXTRAMURS;Districte;30 -34;2944;;;;;;;;;;;;;;;;
CAMPANAR;Districte;30 -34;2293;;;;;;;;;;;;;;;;
L'OLIVERETA;Districte;30 -34;2906;;;;;;;;;;;;;;;;
BENIMACLET;Districte;30 -34;2007;;;;;;;;;;;;;;;;
RASCANYA;Districte;30 -34;3137;;;;;;;;;;;;;;;;
CIUTAT VELLA;Districte;35 - 39;2101;;;;;;;;;;;;;;;;
CAMPANAR;Districte;35 - 39;2893;;;;;;;;;;;;;;;;
LA SAIDIA;Districte;35 - 39;3249;;;;;;;;;;;;;;;;
PATRAIX;Districte;35 - 39;3854;;;;;;;;;;;;;;;;
JESUS;Districte;35 - 39;3755;;;;;;;;;;;;;;;;
BENICALAP;Districte;35 - 39;3900;;;;;;;;;;;;;;;;
POBLATS DEL NORD;Districte;35 - 39;388;;;;;;;;;;;;;;;;
POBLATS DE L'OEST;Districte;35 - 39;1136;;;;;;;;;;;;;;;;
LA SAIDIA;Districte;40 - 44;3708;;;;;;;;;;;;;;;;
EL PLA DEL REAL;Districte;40 - 44;2186;;;;;;;;;;;;;;;;
CAMINS AL GRAU;Districte;40 - 44;5705;;;;;;;;;;;;;;;;
POBLATS DEL NORD;Districte;40 - 44;517;;;;;;;;;;;;;;;;
CAMPANAR;Districte;45 - 49;3174;;;;;;;;;;;;;;;;
PATRAIX;Districte;45 - 49;4515;;;;;;;;;;;;;;;;
JESUS;Districte;45 - 49;4106;;;;;;;;;;;;;;;;
QUATRE CARRERES;Districte;45 - 49;6228;;;;;;;;;;;;;;;;
BENIMACLET;Districte;45 - 49;1814;;;;;;;;;;;;;;;;
RASCANYA;Districte;45 - 49;4662;;;;;;;;;;;;;;;;
CAMPANAR;Districte;50 - 54;2681;;;;;;;;;;;;;;;;
RASCANYA;Districte;50 - 54;4293;;;;;;;;;;;;;;;;
POBLATS DE L'OEST;Districte;50 - 54;1082;;;;;;;;;;;;;;;;
QUATRE CARRERES;Districte;55 - 59;5112;;;;;;;;;;;;;;;;
BENIMACLET;Districte;55 - 59;2100;;;;;;;;;;;;;;;;
POBLATS DEL NORD;Districte;55 - 59;477;;;;;;;;;;;;;;;;
EXTRAMURS;Districte;60 - 64;3073;;;;;;;;;;;;;;;;
CAMINS AL GRAU;Districte;60 - 64;3723;;;;;;;;;;;;;;;;
BENIMACLET;Districte;60 - 64;2076;;;;;;;;;;;;;;;;
POBLATS DE L'OEST;Districte;60 - 64;897;;;;;;;;;;;;;;;;
POBLATS DEL SUD;Districte;60 - 64;1391;;;;;;;;;;;;;;;;
CIUTAT VELLA;Districte;65 - 69;1444;;;;;;;;;;;;;;;;
CAMPANAR;Districte;65 - 69;2370;;;;;;;;;;;;;;;;
LA SAIDIA;Districte;65 - 69;2564;;;;;;;;;;;;;;;;
PATRAIX;Districte;65 - 69;3626;;;;;;;;;;;;;;;;
QUATRE CARRERES;Districte;65 - 69;3925;;;;;;;;;;;;;;;;
ALGIROS;Districte;65 - 69;2619;;;;;;;;;;;;;;;;
POBLATS DE L'OEST;Districte;65 - 69;722;;;;;;;;;;;;;;;;
CIUTAT VELLA;Districte;70 - 74;1319;;;;;;;;;;;;;;;;
L'EIXAMPLE;Districte;70 - 74;2148;;;;;;;;;;;;;;;;
EXTRAMURS;Districte;70 - 74;2531;;;;;;;;;;;;;;;;
EL PLA DEL REAL;Districte;70 - 74;1818;;;;;;;;;;;;;;;;
ALGIROS;Districte;70 - 74;2371;;;;;;;;;;;;;;;;
BENICALAP;Districte;70 - 74;2177;;;;;;;;;;;;;;;;
LA SAIDIA;Districte;75 - 79;2116;;;;;;;;;;;;;;;;
