DISTRICTE;BARRI;GRUP;HABITANTS GRUP;HABITANTS;HABITANTS 20-70;TOTAL;LLIURES;ORA;GUALS;PÀRQUINGS;SOLARS;ALTRES;TURISMES;PLACES/HABITANTS;PLACES/HABITANTS 20-70;PLACES/TURISMES;HABITANTS/TURISMES;HABITANTS 20-70/TURISMES;HABITANTS/HABITANTS 20-70
POBLATS DEL NORD;Districte;? 90;90;;;;;;;;;;;;;;;;
POBLATS DE L'OEST;Districte;? 90;97;;;;;;;;;;;;;;;;
CIUTAT VELLA;EL PILAR;Grup 2;;4624;;2935;11;115;2484;270;55;0;;0.63;;;;;
CIUTAT VELLA;EL MERCAT;Grup 2;;3558;;1934;8;29;861;1036;0;0;;0.54;;;;;
L'EIXAMPLE;RUSSAFA;Grup 2;;23742;;13144;2034;404;8197;2437;72;0;;0.55;;;;;
L'EIXAMPLE;LA GRAN VIA;Grup 2;;11878;;8323;1179;494;4964;1686;0;0;;0.7;;;;;
EXTRAMURS;EL BOTANIC;Grup 2;;6620;;2370;612;165;1593;0;0;0;;0.36;;;;;
CAMPANAR;SANT PAU;Grup 2;;16628;;15933;1762;1;11238;1921;1011;0;;0.96;;;;;
LA SAIDIA;TRINITAT;Grup 2;;7807;;3867;1123;146;2377;0;221;0;;0.5;;;;;
LA SAIDIA;TORMOS;Grup 2;;8628;;2618;762;0;1324;0;532;0;;0.3;;;;;
L'OLIVERETA;TRES FORQUES;Grup 2;;9011;;4176;2483;0;1127;0;566;0;;0.46;;;;;
PATRAIX;PATRAIX;Grup 2;;24590;;9985;3186;54;5767;710;179;89;;0.41;;;;;
JESUS;SANT MARCEL.LI;Grup 2;;10069;;3882;1309;0;2101;0;413;59;;0.39;;;;;
QUATRE CARRERES;MONT-OLIVET;Grup 2;;19448;;5774;2385;33;3069;275;12;0;;0.3;;;;;
QUATRE CARRERES;EN CORTS;Grup 2;;12106;;5520;1777;26;3004;380;101;232;;0.46;;;;;
QUATRE CARRERES;MALILLA;Grup 2;;21943;;13464;5669;0;4449;1011;2335;0;;0.61;;;;;
CAMINS AL GRAU;AIORA;Grup 2;;24980;;8960;1213;33;7349;0;365;0;;0.36;;;;;
CAMINS AL GRAU;LA CREU DEL GRAU;Grup 2;;14694;;4700;756;100;3228;0;566;50;;0.32;;;;;
CAMINS AL GRAU;CAMI FONDO;Grup 2;;4587;;2126;162;24;1715;0;225;0;;0.46;;;;;
CAMINS AL GRAU;PENYA-ROJA;Grup 2;;12414;;20446;634;147;17102;2108;0;455;;1.65;;;;;
ALGIROS;CIUTAT JARDI;Grup 2;;11810;;4148;1483;0;1744;911;10;0;;0.35;;;;;
ALGIROS;L'AMISTAT;Grup 2;;7095;;1943;1110;37;796;0;0;0;;0.27;;;;;
ALGIROS;LA VEGA BAIXA;Grup 2;;5572;;2544;905;0;1639;0;0;0;;0.46;;;;;
BENIMACLET;BENIMACLET;Grup 2;;23306;;8482;2257;76;5092;963;0;94;;0.36;;;;;
BENIMACLET;CAMI DE VERA;Grup 2;;5412;;2729;464;25;1161;0;1007;72;;0.5;;;;;
RASCANYA;ELS ORRIOLS;Grup 2;;16423;;3514;1586;8;1624;0;296;0;;0.21;;;;;
BENICALAP;CIUTAT FALLERA;Grup 2;;5791;;1003;310;0;570;0;123;0;;0.17;;;;;
POBLATS DEL NORD;POBLE NOU;Grup 2;;899;;523;35;0;133;0;355;0;;0.58;;;;;
POBLATS DEL NORD;LES CASES DE BARCENA;Grup 2;;345;;101;33;0;68;0;0;0;;0.29;;;;;
POBLATS DEL NORD;RAFALELL-VISTABELLA;Grup 2;;0;;0;0;0;0;0;0;0;;0.0;;;;;
POBLATS DEL NORD;MAHUELLA-TAULADELLA;Grup 2;;45;;0;0;0;0;0;0;0;;0.0;;;;;
POBLATS DE L'OEST;BENIFERRI;Grup 2;;1200;;2314;200;0;1549;565;0;0;;1.93;;;;;
POBLATS DEL SUD;EL PERELLONET;Grup 2;;1378;;1201;399;0;802;0;0;0;;0.87;;;;;
POBLATS DEL SUD;LA TORRE;Grup 2;;4781;;1811;973;0;838;0;0;0;;0.38;;;;;
