Tipus / Tipo;OBJECTID;Nombre Places / Número Plazas;created_user;created_date;last_edited_user;last_edited_date;geo_shape;geo_point_2d
A - Horquilla;268927;2;GIS;2023-06-19T02:56:07+02:00;GIS;2023-06-19T02:56:07+02:00;"{""coordinates"": [-0.37071438569957477, 39.44739433304501], ""type"": ""Point""}";39.44739433304501, -0.37071438569957477
A - Horquilla;268928;8;GIS;2023-06-19T02:56:07+02:00;GIS;2023-06-19T02:56:07+02:00;"{""coordinates"": [-0.37258688182186744, 39.454067913221955], ""type"": ""Point""}";39.454067913221955, -0.37258688182186744
A - Horquilla;268929;6;GIS;2023-06-19T02:56:07+02:00;GIS;2023-06-19T02:56:07+02:00;"{""coordinates"": [-0.3355329353296077, 39.46862254607083], ""type"": ""Point""}";39.46862254607083, -0.3355329353296077
A - Horquilla;268933;2;GIS;2023-06-19T02:56:07+02:00;GIS;2023-06-19T02:56:07+02:00;"{""coordinates"": [-0.4019442353191682, 39.46286259823652], ""type"": ""Point""}";39.46286259823652, -0.4019442353191682
A - Horquilla;268938;6;GIS;2023-06-19T02:56:07+02:00;GIS;2023-06-19T02:56:07+02:00;"{""coordinates"": [-0.4053127027533886, 39.46438321242875], ""type"": ""Point""}";39.46438321242875, -0.4053127027533886
A - Horquilla;268942;10;GIS;2023-06-19T02:56:07+02:00;GIS;2023-06-19T02:56:07+02:00;"{""coordinates"": [-0.4104075902916837, 39.459950495522925], ""type"": ""Point""}";39.459950495522925, -0.4104075902916837
A - Horquilla;268949;6;GIS;2023-06-19T02:56:07+02:00;GIS;2023-06-19T02:56:07+02:00;"{""coordinates"": [-0.406480721609067, 39.45751640526128], ""type"": ""Point""}";39.45751640526128, -0.406480721609067
A - Horquilla;268951;6;GIS;2023-06-19T02:56:07+02:00;GIS;2023-06-19T02:56:07+02:00;"{""coordinates"": [-0.40089310429625563, 39.46184320416386], ""type"": ""Point""}";39.46184320416386, -0.40089310429625563
A - Horquilla;268956;2;GIS;2023-06-19T02:56:07+02:00;GIS;2023-06-19T02:56:07+02:00;"{""coordinates"": [-0.3311509152733874, 39.47392074529633], ""type"": ""Point""}";39.47392074529633, -0.3311509152733874
A - Horquilla;268957;2;GIS;2023-06-19T02:56:07+02:00;GIS;2023-06-19T02:56:07+02:00;"{""coordinates"": [-0.33105139024472696, 39.47390738776734], ""type"": ""Point""}";39.47390738776734, -0.33105139024472696
A - Horquilla;268958;4;GIS;2023-06-19T02:56:07+02:00;GIS;2023-06-19T02:56:07+02:00;"{""coordinates"": [-0.39969663193826294, 39.46180053966854], ""type"": ""Point""}";39.46180053966854, -0.39969663193826294
A - Horquilla;268970;4;GIS;2023-06-19T02:56:07+02:00;GIS;2023-06-19T02:56:07+02:00;"{""coordinates"": [-0.335915699992821, 39.46865226682794], ""type"": ""Point""}";39.46865226682794, -0.335915699992821
