gid;Número Placa;Cod. Via / Cod. Vía;Portal;Data Alta / Fecha Alta;objectid;Nombre Places / Numero Plazas;Cod. Activitat / Cod. Actividad;Carrer / Calle;NUM_PLAZAS_TRIB;METROS_AUT ;geo_shape;geo_point_2d
100255;Y002366;3660;6;20080717;;1;CD;CAMÍ ALQUERIA DE GILET 6;1;4.0;"{""coordinates"": [-0.38466450027665383, 39.53022300003329], ""type"": ""Point""}";39.53022300003329, -0.38466450027665383
100256;Y002372;67020;44;20080801;;1;CO;CARRER SALVADOR PERLES 44;1;3.5;"{""coordinates"": [-0.39340349946846465, 39.44347199957146], ""type"": ""Point""}";39.44347199957146, -0.39340349946846465
100257;Y002371;81435;2;20080801;;6;CO;CARRER JOSEP BEA I IZQUIERDO 2;6;3.0;"{""coordinates"": [-0.395773747925248, 39.4871713309971], ""type"": ""Point""}";39.4871713309971, -0.395773747925248
100258;Y002376;37290;17;20080918;;1;CO;CARRER ISAAC PERAL 17;1;3.0;"{""coordinates"": [-0.3390055859325651, 39.46017433526083], ""type"": ""Point""}";39.46017433526083, -0.3390055859325651
100260;Y002377;16830;52;20080922;;2;CD;CAMÍ CASES DE BÀRCENA 52;2;4.0;"{""coordinates"": [-0.35902799951062303, 39.519765000367784], ""type"": ""Point""}";39.519765000367784, -0.35902799951062303
100261;Y002378;6510;56;20080922;;28;CO;CARRER ARQUITECTE ALFARO 56;28;5.0;"{""coordinates"": [-0.3344940005798959, 39.46571099982694], ""type"": ""Point""}";39.46571099982694, -0.3344940005798959
100265;Y002833;50910;8;20220906;;1;CO;CARRER VICENT ALBERO MASIÀ 8;1;3.5;"{""coordinates"": [-0.37675350037636796, 39.51785700021799], ""type"": ""Point""}";39.51785700021799, -0.37675350037636796
100267;Y002836;81416;13;20220922;;1;CD;PLAÇA BENIMARFULL 13;1;3.5;"{""coordinates"": [-0.4006750585718394, 39.458396911583385], ""type"": ""Point""}";39.458396911583385, -0.4006750585718394
100268;Y002839;25680;9;20221101;;6;CO;AVINGUDA PORT 9;6;5.0;"{""coordinates"": [-0.3592125002936903, 39.468014999671546], ""type"": ""Point""}";39.468014999671546, -0.3592125002936903
100273;Y002843;70140;9;20221201;;2;CD;CARRER SANTA ROSA 9;2;3.0;"{""coordinates"": [-0.35774999951132264, 39.46876200025445], ""type"": ""Point""}";39.46876200025445, -0.35774999951132264
100275;Y002844;2400;19;20230109;;8;CO;AVINGUDA CAMPANAR 19;8;3.0;"{""coordinates"": [-0.3909810223766332, 39.48551368019656], ""type"": ""Point""}";39.48551368019656, -0.3909810223766332
100276;Y002846;23180;30;20230112;;1;CD;CARRER FOC 30;1;4.5;"{""coordinates"": [-0.39253950013087846, 39.50117099957698], ""type"": ""Point""}";39.50117099957698, -0.39253950013087846
100280;Y002848;65130;17;20230217;;1;CO;CARRER RODRIGO PERTEGÁS 17;1;3.0;"{""coordinates"": [-0.34393500005430166, 39.461795999880124], ""type"": ""Point""}";39.461795999880124, -0.34393500005430166
100285;Y002855;70770;4;20230502;;1;CD;CARRER SEGÀRIA 4;1;3.0;"{""coordinates"": [-0.3892365000201264, 39.48903000024569], ""type"": ""Point""}";39.48903000024569, -0.3892365000201264
100287;Y002852;81193;3;20230308;;4;CD;CARRER NICOLAU PRIMITIU GÓMEZ SERRANO 3;4;3.0;"{""coordinates"": [-0.403281000473842, 39.45669300034818], ""type"": ""Point""}";39.45669300034818, -0.403281000473842
100288;Z000006;36930;30;20010216;;1;CO;CARRER IGNACIO ZULOAGA 30;1;3.0;"{""coordinates"": [-0.33597450040361015, 39.44734200002271], ""type"": ""Point""}";39.44734200002271, -0.33597450040361015
100294;Z000010;26190;25;20010219;;25;CO;CARRER EDUARD BOSCÀ 25;25;3.5;"{""coordinates"": [-0.35742150000054645, 39.46477499992165], ""type"": ""Point""}";39.46477499992165, -0.35742150000054645
100295;Y001197;26370;20;20070425;;0;OT;CARRER BATXILLER 20;6;4.0;"{""coordinates"": [-0.36217754636357763, 39.482247776569686], ""type"": ""Point""}";39.482247776569686, -0.36217754636357763
100298;Y001207;59400;19;19881103;;0;CO;CARRER PINZÓN 19;4;3.0;"{""coordinates"": [-0.3825675000041293, 39.477132000151634], ""type"": ""Point""}";39.477132000151634, -0.3825675000041293
100299;Y001197;37890;16;19860228;;0;OT;CARRER JAUME ROIG 16;6;3.0;"{""coordinates"": [-0.36390400311187365, 39.48158408595886], ""type"": ""Point""}";39.48158408595886, -0.36390400311187365
100300;Y001208;63780;4;19861218;;0;CO;CARRER REUS 4;5;4.0;"{""coordinates"": [-0.3845070002611783, 39.48515999963788], ""type"": ""Point""}";39.48515999963788, -0.3845070002611783
100302;Y001220;72870;21;19890201;;0;CO;AVINGUDA TIRSO DE MOLINA 21;11;3.0;"{""coordinates"": [-0.3964725002719031, 39.47687100014375], ""type"": ""Point""}";39.47687100014375, -0.3964725002719031
100305;Y001248;49500;40;19980327;;0;CO;CAMÍ MONTCADA 40;4;2.5;"{""coordinates"": [-0.37821149978446494, 39.49066799955627], ""type"": ""Point""}";39.49066799955627, -0.37821149978446494
100310;Y001255;60660;34;19770101;;0;CO;CARRER POLO I PEYROLÓN 34;6;3.2;"{""coordinates"": [-0.35449649949159706, 39.47405399977011], ""type"": ""Point""}";39.47405399977011, -0.35449649949159706
100315;Y001269;59610;3;19850325;;0;CO;AVINGUDA PLATA 3;4;3.5;"{""coordinates"": [-0.37219949955904036, 39.45317399978677], ""type"": ""Point""}";39.45317399978677, -0.37219949955904036
100321;Y001288;6510;51;20090708;;5;CO;CARRER ARQUITECTE ALFARO 51;5;4.5;"{""coordinates"": [-0.3350342772533093, 39.464109700891136], ""type"": ""Point""}";39.464109700891136, -0.3350342772533093
100324;Y001293;65910;18;19881116;;0;CO;CARRER RUBÉN VELA 18;15;3.0;"{""coordinates"": [-0.374255999488715, 39.455819999668414], ""type"": ""Point""}";39.455819999668414, -0.374255999488715
100329;Y002382;25080;41;20081001;;1;CD;AVINGUDA DOCTOR TOMÀS SALA 41;1;3.0;"{""coordinates"": [-0.3874185003538307, 39.44727899972757], ""type"": ""Point""}";39.44727899972757, -0.3874185003538307
100333;Y002395;25680;101;20081203;;8;CO;AVINGUDA PORT 101;8;3.5;"{""coordinates"": [-0.34936650002063774, 39.46508099968979], ""type"": ""Point""}";39.46508099968979, -0.34936650002063774
100334;Y002397;70920;11;20081203;;5;CO;CARRER SERPIS 11;5;3.0;"{""coordinates"": [-0.34904700000723815, 39.47623199995301], ""type"": ""Point""}";39.47623199995301, -0.34904700000723815
100338;Y002401;76290;3;20090112;;2;CO;CARRER VILALLONGA 3;2;3.5;"{""coordinates"": [-0.3629385000095167, 39.42354600025703], ""type"": ""Point""}";39.42354600025703, -0.3629385000095167
100339;Y002399;71610;5;20090112;;2;CO;CARRER SOLEDAD DOMÉNECH 5;2;2.5;"{""coordinates"": [-0.361291500141268, 39.48386399990344], ""type"": ""Point""}";39.48386399990344, -0.361291500141268
100340;Y002397;60060;19;20081203;;5;CO;CARRER POETA ARTOLA 19;5;5.0;"{""coordinates"": [-0.34875000027472974, 39.47625899978979], ""type"": ""Point""}";39.47625899978979, -0.34875000027472974
100341;Y002404;78150;13;20090112;;4;CD;CARRER ZARRA 13;4;3.5;"{""coordinates"": [-0.3470805000347072, 39.47045399958393], ""type"": ""Point""}";39.47045399958393, -0.3470805000347072
100343;Y002402;55710;24;20090112;;1;CD;CARRER PARC DE NATZARET 24;1;3.0;"{""coordinates"": [-0.3325664043183034, 39.450346081808384], ""type"": ""Point""}";39.450346081808384, -0.3325664043183034
100344;Y002408;33240;41;20090202;;10;CO;CARRER FÉLIX DEL RÍO (ACTIVISTA VEÏNAL) 41;10;4.0;"{""coordinates"": [-0.3832920001054509, 39.49109999963234], ""type"": ""Point""}";39.49109999963234, -0.3832920001054509
100346;Y002413;23610;6;20090403;;2;CD;CARRER TRAGINERS 6;2;5.5;"{""coordinates"": [-0.4072094997965316, 39.46170599977288], ""type"": ""Point""}";39.46170599977288, -0.4072094997965316
100350;Y002410;68340;15;20090223;;4;CO;CARRER SANT JOAN DE DÉU 15;4;3.0;"{""coordinates"": [-0.32985344090227225, 39.47773102920667], ""type"": ""Point""}";39.47773102920667, -0.32985344090227225
100354;Y002421;21420;3;20090424;;3;CO;CARRER CREVILLENT 3;3;3.0;"{""coordinates"": [-0.3402719996218166, 39.4684110000555], ""type"": ""Point""}";39.4684110000555, -0.3402719996218166
100355;Y002415;33240;68;20090406;;1;CD;CARRER FÉLIX DEL RÍO (ACTIVISTA VEÏNAL) 68;1;3.0;"{""coordinates"": [-0.38649600051650385, 39.49053299985294], ""type"": ""Point""}";39.49053299985294, -0.38649600051650385
100362;Z000016;81292;4;20010326;;2;CO;CARRER PINTOR ENRIC GINESTA 4;2;3.0;"{""coordinates"": [-0.3576975202429819, 39.491747002291554], ""type"": ""Point""}";39.491747002291554, -0.3576975202429819
100365;Z000028;73920;133;20010622;;6;CO;AVINGUDA TRES CREUS 133;6;4.0;"{""coordinates"": [-0.39897899943756865, 39.4536239997974], ""type"": ""Point""}";39.4536239997974, -0.39897899943756865
100366;Z000030;59430;11;19880302;;18;CO;CARRER PIUS IX 11;15;3.5;"{""coordinates"": [-0.39255299986448644, 39.446189999820646], ""type"": ""Point""}";39.446189999820646, -0.39255299986448644
100370;Z000035;36930;26;20010712;;3;CO;CARRER IGNACIO ZULOAGA 26;3;3.0;"{""coordinates"": [-0.33588900032027863, 39.44781900040868], ""type"": ""Point""}";39.44781900040868, -0.33588900032027863
100371;Z000037;36630;15;20000117;;1;CO;CARRER HUMANISTA MARINER 15;1;2.5;"{""coordinates"": [-0.39349349997629396, 39.46058999975735], ""type"": ""Point""}";39.46058999975735, -0.39349349997629396
100373;Z000042;45750;17;20011024;;0;CO;CARRER MARÍ ALBESA 17;1;3.5;"{""coordinates"": [-0.34614000018651087, 39.466296000299415], ""type"": ""Point""}";39.466296000299415, -0.34614000018651087
100374;Z000046;77370;28;20020617;;10;CO;CARRER VISITACIÓ 28;10;3.0;"{""coordinates"": [-0.3767894996321473, 39.48502499986717], ""type"": ""Point""}";39.48502499986717, -0.3767894996321473
100375;Z000045;81183;12;20020215;;1;CO;CARRER ISMAEL BLAT (PINTOR) 12;1;3.5;"{""coordinates"": [-0.3908024999747433, 39.432131999876376], ""type"": ""Point""}";39.432131999876376, -0.3908024999747433
100376;Z000050;750;22;20020709;;4;CO;CARRER AGUSTÍN LARA 22;4;3.0;"{""coordinates"": [-0.3707640003021628, 39.493268999927636], ""type"": ""Point""}";39.493268999927636, -0.3707640003021628
100379;Z000058;27690;18;20030730;;1;CD;PLAÇA ENRIC GRANADOS 18;3;3.0;"{""coordinates"": [-0.3945330004455109, 39.46100399992968], ""type"": ""Point""}";39.46100399992968, -0.3945330004455109
100385;Z000065;32910;11;20040210;;28;CO;CARRER GAYANO LLUCH 11;28;3.0;"{""coordinates"": [-0.38086199979021446, 39.491325000354536], ""type"": ""Point""}";39.491325000354536, -0.38086199979021446
100386;Z000065;32910;13;20040210;;28;CO;CARRER GAYANO LLUCH 13;28;3.0;"{""coordinates"": [-0.38089800039477584, 39.49142400030349], ""type"": ""Point""}";39.49142400030349, -0.38089800039477584
100391;Z000070;34770;8;20040211;;41;CO;CARRER GREGORI GEA 8;40;3.0;"{""coordinates"": [-0.38461949969787607, 39.48366600038271], ""type"": ""Point""}";39.48366600038271, -0.38461949969787607
100394;Y001329;72060;1;19900219;;15;CO;AVINGUDA SUÈCIA 1;10;3.0;"{""coordinates"": [-0.3600584995860446, 39.47332500009855], ""type"": ""Point""}";39.47332500009855, -0.3600584995860446
100396;Y001336;70230;15;19900418;;5;CO;CARRER SANTANDER 15;6;3.5;"{""coordinates"": [-0.3899699996054488, 39.45454200013389], ""type"": ""Point""}";39.45454200013389, -0.3899699996054488
100398;Y001338;64620;7;19900417;;0;CO;CARRER RIU NERVIÓN 7;19;3.5;"{""coordinates"": [-0.38166749950105355, 39.495680999713706], ""type"": ""Point""}";39.495680999713706, -0.38166749950105355
100400;Y001342;72840;4;19900601;;5;CO;CARRER TIRANT LO BLANCH 4;5;3.0;"{""coordinates"": [-0.3707999997477082, 39.45499199988268], ""type"": ""Point""}";39.45499199988268, -0.3707999997477082
100403;Y001347;59280;30;20220428;;7;CO;CARRER PINTOR STOLZ 30;7;3.18;"{""coordinates"": [-0.39980699998059466, 39.469580999629535], ""type"": ""Point""}";39.469580999629535, -0.39980699998059466
100405;Y001352;60000;18;19880907;;27;CO;CARRER POETA ALTET 18;39;3.0;"{""coordinates"": [-0.36354150011421393, 39.48708599997626], ""type"": ""Point""}";39.48708599997626, -0.36354150011421393
100406;Y001350;3420;6;19881004;;12;CO;CARRER ALQUERIA DE BENLLOCH 6;30;3.0;"{""coordinates"": [-0.3984822527275517, 39.4612163046737], ""type"": ""Point""}";39.4612163046737, -0.3984822527275517
100409;Y001352;60000;18;19881008;;27;CO;CARRER POETA ALTET 18;39;3.0;"{""coordinates"": [-0.36354150011421393, 39.48708599997626], ""type"": ""Point""}";39.48708599997626, -0.36354150011421393
100410;Y001355;6510;9;20050527;;7;CO;CARRER ARQUITECTE ALFARO 9;7;5.0;"{""coordinates"": [-0.33573149972410227, 39.46175099992477], ""type"": ""Point""}";39.46175099992477, -0.33573149972410227
100414;Y001362;6510;5;19910129;;19;CO;CARRER ARQUITECTE ALFARO 5;19;4.0;"{""coordinates"": [-0.33578999973546386, 39.46149899965263], ""type"": ""Point""}";39.46149899965263, -0.33578999973546386
100421;Y001367;39010;18;19910503;;19;CO;CARRER JOSE MARIA HARO (MAGISTRAT) 18;19;4.0;"{""coordinates"": [-0.3379275003331308, 39.469724999735874], ""type"": ""Point""}";39.469724999735874, -0.3379275003331308
100424;Y001367;39010;18;20220214;;19;CO;CARRER JOSE MARIA HARO (MAGISTRAT) 18;19;4.0;"{""coordinates"": [-0.3379275003331308, 39.469724999735874], ""type"": ""Point""}";39.469724999735874, -0.3379275003331308
100426;Y002427;32160;21;20090602;;7;CD;CARRER GABRIEL Y GALÁN 21;7;3.0;"{""coordinates"": [-0.38703877882771437, 39.45363185819478], ""type"": ""Point""}";39.45363185819478, -0.38703877882771437
100429;Y002427;32160;21;20190502;;7;CD;CARRER GABRIEL Y GALÁN 21;7;3.0;"{""coordinates"": [-0.38703877882771437, 39.45363185819478], ""type"": ""Point""}";39.45363185819478, -0.38703877882771437
100430;Y002428;23610;1;20090602;;4;CO;CARRER TRAGINERS 1;4;7.5;"{""coordinates"": [-0.40599899950226276, 39.46279500042974], ""type"": ""Point""}";39.46279500042974, -0.40599899950226276
100431;Y002429;57540;64;20090603;;3;CO;CARRER PERIS BRELL 64;3;2.7;"{""coordinates"": [-0.34634699978238465, 39.46739399963437], ""type"": ""Point""}";39.46739399963437, -0.34634699978238465
100435;Y002432;70350;9;20090703;;40;CO;CARRER SANTIAGO RUSIÑOL 9;40;3.0;"{""coordinates"": [-0.36637083937967196, 39.495224842877754], ""type"": ""Point""}";39.495224842877754, -0.36637083937967196
100437;Y002434;54900;7;20090708;;1;CO;CARRER PARE RICO 7;1;3.0;"{""coordinates"": [-0.3891599996459112, 39.472118999993434], ""type"": ""Point""}";39.472118999993434, -0.3891599996459112
100439;Y002439;6510;50;20090721;;21;CO;CARRER ARQUITECTE ALFARO 50;21;4.0;"{""coordinates"": [-0.3350342772533093, 39.464109700891136], ""type"": ""Point""}";39.464109700891136, -0.3350342772533093
100447;Y002443;23250;1;20090901;;50;CO;CARRER ARGENTERS 1;50;3.0;"{""coordinates"": [-0.40511172223143344, 39.45855004107703], ""type"": ""Point""}";39.45855004107703, -0.40511172223143344
100448;Y002443;23250;1;20090901;;50;CO;CARRER ARGENTERS 1;50;3.0;"{""coordinates"": [-0.40511172223143344, 39.45855004107703], ""type"": ""Point""}";39.45855004107703, -0.40511172223143344
100455;Y002446;74970;22;20091008;;4;CO;CARRER VENERABLE ANYÉS 22;4;2.5;"{""coordinates"": [-0.39320550042899693, 39.46280400008407], ""type"": ""Point""}";39.46280400008407, -0.39320550042899693
100458;Z000076;12360;12;20040701;;1;CD;CARRER BUEN RETIRO 12;1;3.0;"{""coordinates"": [-0.39277350039727293, 39.49004700028662], ""type"": ""Point""}";39.49004700028662, -0.39277350039727293
100459;Z000073;18210;15;20041227;;14;CO;CARRER CERAMISTA ROS 15;14;3.0;"{""coordinates"": [-0.4032674997393469, 39.46224600025177], ""type"": ""Point""}";39.46224600025177, -0.4032674997393469
100462;Z000079;41430;14;20050701;;7;CO;CARRER LLEIDA 14;7;4.5;"{""coordinates"": [-0.3766499997268234, 39.483783000041264], ""type"": ""Point""}";39.483783000041264, -0.3766499997268234
100463;Z000080;55080;53;20050701;;3;CO;CARRER PARE URBANO 53;3;3.5;"{""coordinates"": [-0.3718840218100181, 39.488844756212735], ""type"": ""Point""}";39.488844756212735, -0.3718840218100181
100471;Z000087;37470;152;20051226;;3;CO;CARRER ILLES CANÀRIES 152;2;3.5;"{""coordinates"": [-0.34147350012018024, 39.46156200041592], ""type"": ""Point""}";39.46156200041592, -0.34147350012018024
100472;Z000089;62640;44;20060125;;1;CD;CARRER RAMIRO DE MAEZTU 44;1;3.0;"{""coordinates"": [-0.345676499511406, 39.46661100027895], ""type"": ""Point""}";39.46661100027895, -0.345676499511406
100474;Z000092;21930;58;20060421;;4;CO;CARRER CUBA 58;4;3.0;"{""coordinates"": [-0.37547099981903426, 39.45952800027138], ""type"": ""Point""}";39.45952800027138, -0.37547099981903426
100475;Z000091;44940;26;20050729;;1;CD;CARRER MANUEL SIMÓ 26;1;3.5;"{""coordinates"": [-0.391454999932095, 39.459986999835216], ""type"": ""Point""}";39.459986999835216, -0.391454999932095
100480;Z000094;80630;51;20060525;;2;CO;CARRER POETA SERRANO CLAVERO 51;2;4.5;"{""coordinates"": [-0.38804849948057035, 39.49427699976228], ""type"": ""Point""}";39.49427699976228, -0.38804849948057035
100482;Z000102;42990;25;20061207;;8;CO;CARRER LLUÍS LAMARCA 25;7;5.0;"{""coordinates"": [-0.40230450012261343, 39.47076000021548], ""type"": ""Point""}";39.47076000021548, -0.40230450012261343
100483;Z000102;42990;25;20061207;;8;CO;CARRER LLUÍS LAMARCA 25;7;5.0;"{""coordinates"": [-0.40230450012261343, 39.47076000021548], ""type"": ""Point""}";39.47076000021548, -0.40230450012261343
100484;Z000101;59040;18;20061207;;1;CO;CARRER PINTOR PASQUAL CAPUZ 18;1;4.0;"{""coordinates"": [-0.3961259994767664, 39.462660000125254], ""type"": ""Point""}";39.462660000125254, -0.3961259994767664
100489;Z000106;7890;81;20070801;;8;CO;CARRER ASSAGADOR DE LA TORRE 81;8;14.0;"{""coordinates"": [-0.37502099990469123, 39.42695700026519], ""type"": ""Point""}";39.42695700026519, -0.37502099990469123
100490;Y001384;3030;1;19871230;;3;CO;CARRER ALMUDAINA 1;5;3.0;"{""coordinates"": [-0.3830672049547147, 39.453568691874466], ""type"": ""Point""}";39.453568691874466, -0.3830672049547147
100491;Y001385;65850;35;19980304;;9;CO;CARRER RUAYA 35;1;3.0;"{""coordinates"": [-0.3778245001452544, 39.48535800034509], ""type"": ""Point""}";39.48535800034509, -0.3778245001452544
100492;Y001393;74400;33;20050527;;4;CO;CARRER URUGUAI 33;4;2.5;"{""coordinates"": [-0.38676599986028837, 39.45741300039061], ""type"": ""Point""}";39.45741300039061, -0.38676599986028837
100493;Y001398;6390;66;19910913;;6;CO;CARRER ARXIDUC CARLES 66;6;3.0;"{""coordinates"": [-0.3993749994986907, 39.46112099972759], ""type"": ""Point""}";39.46112099972759, -0.3993749994986907
100494;Y001394;70530;74;19910723;;5;CO;CARRER SANT DOMÉNEC SAVIO 74;5;9.7;"{""coordinates"": [-0.3755654999792864, 39.49653599987681], ""type"": ""Point""}";39.49653599987681, -0.3755654999792864
100497;Y001400;57420;55;20051005;;22;CO;CARRER PERIODISTA GIL SUMBIELA 55;6;3.0;"{""coordinates"": [-0.3888359998344499, 39.49236900042536], ""type"": ""Point""}";39.49236900042536, -0.3888359998344499
100498;Y001400;57420;55;20051005;;22;CO;CARRER PERIODISTA GIL SUMBIELA 55;6;3.5;"{""coordinates"": [-0.3888359998344499, 39.49236900042536], ""type"": ""Point""}";39.49236900042536, -0.3888359998344499
100499;Y001401;44250;34;20030919;;14;CO;CARRER MESTRE VALLS 34;8;2.2;"{""coordinates"": [-0.3411089998954914, 39.46605299996604], ""type"": ""Point""}";39.46605299996604, -0.3411089998954914
100500;Y001401;44250;34;20030919;;14;CO;CARRER MESTRE VALLS 34;8;2.5;"{""coordinates"": [-0.3411089998954914, 39.46605299996604], ""type"": ""Point""}";39.46605299996604, -0.3411089998954914
100502;Y001403;59280;68;19910913;;12;CO;CARRER PINTOR STOLZ 68;8;3.2;"{""coordinates"": [-0.4038929998026282, 39.470319000021156], ""type"": ""Point""}";39.470319000021156, -0.4038929998026282
100503;Y001409;61710;18;19880201;;4;CO;CARRER POBLA DE FARNALS 18;4;3.7;"{""coordinates"": [-0.35229150002486886, 39.469670999883924], ""type"": ""Point""}";39.469670999883924, -0.35229150002486886
100514;Y001453;37470;108;19860113;;12;CO;CARRER ILLES CANÀRIES 108;6;3.0;"{""coordinates"": [-0.34675649981639345, 39.463731000159065], ""type"": ""Point""}";39.463731000159065, -0.34675649981639345
100515;Y001453;58830;4;19920922;;12;CO;CARRER PINTOR MAELLA 4;6;3.0;"{""coordinates"": [-0.3479295157855668, 39.46045141043054], ""type"": ""Point""}";39.46045141043054, -0.3479295157855668
100516;Y001459;81236;16;19930730;;1;CD;CARRER CORTES D'ARENÓS 16;1;4.0;"{""coordinates"": [-0.41645759884674166, 39.46838291893862], ""type"": ""Point""}";39.46838291893862, -0.41645759884674166
100518;Y002447;31830;25;20091016;;1;CD;CARRER FONT PODRIDA 25;1;3.0;"{""coordinates"": [-0.32793192724551545, 39.464459206448154], ""type"": ""Point""}";39.464459206448154, -0.32793192724551545
100520;Y001462;60420;8;19921125;;9;CO;CARRER POETA MAS I ROS 8;7;3.0;"{""coordinates"": [-0.35127899958022774, 39.471174000297374], ""type"": ""Point""}";39.471174000297374, -0.35127899958022774
100522;Y002455;77460;4;20091218;;16;CO;CARRER VIVER 4;16;3.0;"{""coordinates"": [-0.36581400035473977, 39.48656400045648], ""type"": ""Point""}";39.48656400045648, -0.36581400035473977
100523;Y002456;11700;20;20091218;;4;CO;CARRER BONIFACI FERRER 20;4;3.0;"{""coordinates"": [-0.38747249980929116, 39.45811499977317], ""type"": ""Point""}";39.45811499977317, -0.38747249980929116
100524;Y002456;11700;20;20091218;;4;CO;CARRER BONIFACI FERRER 20;4;3.0;"{""coordinates"": [-0.38747249980929116, 39.45811499977317], ""type"": ""Point""}";39.45811499977317, -0.38747249980929116
100525;Y002459;12720;48;20091231;;10;CO;CAMÍ CABANYAL 48;10;3.5;"{""coordinates"": [-0.3396651956570365, 39.47462002124503], ""type"": ""Point""}";39.47462002124503, -0.3396651956570365
100527;Y002463;29760;18;20100202;;1;CD;CARRER FELIP RINALDI 18;1;4.0;"{""coordinates"": [-0.37703249961696833, 39.49358399987668], ""type"": ""Point""}";39.49358399987668, -0.37703249961696833
100530;Y002462;6390;117;20100202;;2;CO;CARRER ARXIDUC CARLES 117;2;3.0;"{""coordinates"": [-0.4002074994552712, 39.459806999646545], ""type"": ""Point""}";39.459806999646545, -0.4002074994552712
100534;Y002471;18390;25;20100323;;19;CO;AVINGUDA CID 25;19;5.0;"{""coordinates"": [-0.3938400003242753, 39.467465999904185], ""type"": ""Point""}";39.467465999904185, -0.3938400003242753
100535;Y002472;57630;32;20100329;;6;CO;AVINGUDA PERIS I VALERO 32;6;3.0;"{""coordinates"": [-0.3764205004300471, 39.45640499994573], ""type"": ""Point""}";39.45640499994573, -0.3764205004300471
100545;Y002481;22350;15;20100519;;6;CO;CARRER MOSSÉN PALANCA 15;6;3.5;"{""coordinates"": [-0.36643499981889904, 39.444623999963305], ""type"": ""Point""}";39.444623999963305, -0.36643499981889904
100546;Y002484;1680;11;20100528;;2;CD;CARRER ALCALDE ALBORS 11;2;3.5;"{""coordinates"": [-0.39531150010664534, 39.47238899998923], ""type"": ""Point""}";39.47238899998923, -0.39531150010664534
100547;Y002488;59670;39;20100602;;1;CO;CARRER PLÀTANS 39;1;3.0;"{""coordinates"": [-0.38853449954394975, 39.49214400026563], ""type"": ""Point""}";39.49214400026563, -0.38853449954394975
100548;Y002487;31410;20;20100602;;1;CO;CARRER FRAY FRANCISCO CABEZAS 20;1;4.5;"{""coordinates"": [-0.37246949963739184, 39.497237999583476], ""type"": ""Point""}";39.497237999583476, -0.37246949963739184
100551;Z000107;31320;31;20071115;;3;CO;CARRER FRANCISCO MORENO USEDO 31;3;2.5;"{""coordinates"": [-0.3970259996197689, 39.47196599959018], ""type"": ""Point""}";39.47196599959018, -0.3970259996197689
100552;Z000113;12540;11;20080219;;29;CO;AVINGUDA BURJASSOT 11;29;4.0;"{""coordinates"": [-0.38312100028467294, 39.48343199983397], ""type"": ""Point""}";39.48343199983397, -0.38312100028467294
100556;Z000116;64530;52;20080416;;1;CD;CARRER RIU BIDASOA 52;1;4.0;"{""coordinates"": [-0.3817394998254979, 39.497301000414176], ""type"": ""Point""}";39.497301000414176, -0.3817394998254979
100560;Z000119;53790;9;20080507;;13;CO;CARRER ORIENT 9;13;3.0;"{""coordinates"": [-0.3617955000580689, 39.45887999975211], ""type"": ""Point""}";39.45887999975211, -0.3617955000580689
100562;Z000125;81185;15;20080716;;1;CD;CARRER CORA RAGA 15;1;3.0;"{""coordinates"": [-0.39504599951416614, 39.49612200014351], ""type"": ""Point""}";39.49612200014351, -0.39504599951416614
100564;Z000123;43110;31;20081231;;5;CO;CARRER LLUÍS SANTÀNGEL 31;5;3.0;"{""coordinates"": [-0.3663900003740332, 39.4612649999731], ""type"": ""Point""}";39.4612649999731, -0.3663900003740332
100568;Z000130;33210;10;20090108;;10;CO;CARRER GENERAL LLORENS 10;10;3.0;"{""coordinates"": [-0.3861379551002827, 39.49216441157745], ""type"": ""Point""}";39.49216441157745, -0.3861379551002827
100569;Z000130;33240;57;20090108;;10;CO;CARRER FÉLIX DEL RÍO (ACTIVISTA VEÏNAL) 57;10;3.0;"{""coordinates"": [-0.3849479997646857, 39.49073099997284], ""type"": ""Point""}";39.49073099997284, -0.3849479997646857
100571;Z000132;53640;104;20090108;;176;CO;AVINGUDA DOCTOR PESET ALEIXANDRE 104;176;4.0;"{""coordinates"": [-0.38422350031272323, 39.48993900012891], ""type"": ""Point""}";39.48993900012891, -0.38422350031272323
100574;Z000134;23430;55;20091231;;2;CO;CARRER GREMIS 55;2;3.0;"{""coordinates"": [-0.40441949997803045, 39.45121199985703], ""type"": ""Point""}";39.45121199985703, -0.40441949997803045
100582;Z000138;81801;21;20090708;;3;CO;AVINGUDA JOSE ROCA COLL (PIANISTA) 21;3;3.0;"{""coordinates"": [-0.39956400020053956, 39.4595459995891], ""type"": ""Point""}";39.4595459995891, -0.39956400020053956
100583;Y001468;31230;19;19881027;;5;CO;CARRER FRANCESC MARTÍNEZ 19;5;6.5;"{""coordinates"": [-0.3589229281451298, 39.48833181229872], ""type"": ""Point""}";39.48833181229872, -0.3589229281451298
100585;Y001474;73950;133;19930215;;6;CO;CARRER TRES FORQUES 133;6;3.0;"{""coordinates"": [-0.4043385002192713, 39.46346099988633], ""type"": ""Point""}";39.46346099988633, -0.4043385002192713
100588;Y001488;37410;30;19930421;;1;CO;CARRER ILLA FORMENTERA 30;3;3.8;"{""coordinates"": [-0.37939950055274474, 39.447053999859214], ""type"": ""Point""}";39.447053999859214, -0.37939950055274474
