gid;Número Placa;Cod. Via / Cod. Vía;Portal;Data Alta / Fecha Alta;objectid;Nombre Places / Numero Plazas;Cod. Activitat / Cod. Actividad;Carrer / Calle;NUM_PLAZAS_TRIB;METROS_AUT ;geo_shape;geo_point_2d
97760;X004756;6390;44;19950627;;22;RE;CARRER ARXIDUC CARLES 44;22;3.5;"{""coordinates"": [-0.39807450050281445, 39.46231799965281], ""type"": ""Point""}";39.46231799965281, -0.39807450050281445
97764;X004765;1680;20;19950101;;0;RE;CARRER ALCALDE ALBORS 20;27;4.0;"{""coordinates"": [-0.39584249941702787, 39.472326000099194], ""type"": ""Point""}";39.472326000099194, -0.39584249941702787
97766;X004766;81351;4;19951011;;0;RE;CARRER DIPUTADA CLARA CAMPOAMOR 4;28;3.0;"{""coordinates"": [-0.3688019995655408, 39.49142399966658], ""type"": ""Point""}";39.49142399966658, -0.3688019995655408
97771;X004220;50550;20;19940310;;3;RE;CARRER MOSSÉN CUENCA 20;4;3.0;"{""coordinates"": [-0.33903449961993665, 39.422249999623666], ""type"": ""Point""}";39.422249999623666, -0.33903449961993665
97772;X004227;22020;13;19940406;;0;RE;CARRER CONCA 13;101;3.5;"{""coordinates"": [-0.38459249959364356, 39.46849199981614], ""type"": ""Point""}";39.46849199981614, -0.38459249959364356
97774;X004230;30480;33;19940421;;0;CO;CARRER FLORESTA 33;5;3.0;"{""coordinates"": [-0.34879050026691183, 39.467286000253004], ""type"": ""Point""}";39.467286000253004, -0.34879050026691183
97778;X004231;60030;17;19940421;;0;CO;CARRER POETA ANDRÉS CABRELLES 17;32;3.0;"{""coordinates"": [-0.3416530919978322, 39.470151570943145], ""type"": ""Point""}";39.470151570943145, -0.3416530919978322
97780;X004233;44550;107;19940421;;0;RE;AVINGUDA MALVA-ROSA 107;5;3.0;"{""coordinates"": [-0.3282255000209461, 39.482801999896864], ""type"": ""Point""}";39.482801999896864, -0.3282255000209461
97783;X004238;25950;20;19940421;;0;RE;CARRER DUC DE GAETA 20;12;4.0;"{""coordinates"": [-0.3496275005673336, 39.46635899996552], ""type"": ""Point""}";39.46635899996552, -0.3496275005673336
97787;X004245;37320;13;19940509;;3;RE;CARRER ISABEL LA CATÒLICA 13;3;3.0;"{""coordinates"": [-0.3704399996857354, 39.468905999578915], ""type"": ""Point""}";39.468905999578915, -0.3704399996857354
97791;X004252;23820;52;19940509;;30;RE;AVINGUDA PRIMER DE MAIG 52;30;3.0;"{""coordinates"": [-0.39179250049180653, 39.44982600044837], ""type"": ""Point""}";39.44982600044837, -0.39179250049180653
97793;X004255;12540;161;19770101;;6;RE;AVINGUDA BURJASSOT 161;6;2.9;"{""coordinates"": [-0.3930479996028421, 39.49187399969056], ""type"": ""Point""}";39.49187399969056, -0.3930479996028421
97801;X004262;80630;12;19940610;;0;CO;CARRER POETA SERRANO CLAVERO 12;20;3.0;"{""coordinates"": [-0.3899160004974179, 39.49091999960072], ""type"": ""Point""}";39.49091999960072, -0.3899160004974179
97802;X004265;62850;7;19940610;;0;RE;CARRER RAMON LLULL 7;22;3.0;"{""coordinates"": [-0.3474630004004767, 39.475458000129485], ""type"": ""Point""}";39.475458000129485, -0.3474630004004767
97803;X004267;81178;3;19940610;;0;RE;PLAÇA FRA LLUÍS COLOMER 3;54;3.2;"{""coordinates"": [-0.35328599962160184, 39.47873399988993], ""type"": ""Point""}";39.47873399988993, -0.35328599962160184
97810;X004277;60990;33;19940610;;0;RE;CARRER PORTACELI 33;79;4.0;"{""coordinates"": [-0.37040400016329134, 39.49040699977956], ""type"": ""Point""}";39.49040699977956, -0.37040400016329134
97811;X004273;8130;31;19940121;;0;CO;CARRER BAIX DE LA MAR 31;4;3.0;"{""coordinates"": [-0.33275700037333866, 39.45123000012297], ""type"": ""Point""}";39.45123000012297, -0.33275700037333866
