OBJECTID;Nombre Places / Número Plazas;created_user;created_date;last_edited_user;last_edited_date;geo_shape;geo_point_2d
172433;1;GIS;2023-06-19T04:56:42+02:00;GIS;2023-06-19T04:56:42+02:00;"{""coordinates"": [-0.3791127571483171, 39.487507324120756], ""type"": ""Point""}";39.487507324120756, -0.3791127571483171
172435;1;GIS;2023-06-19T04:56:42+02:00;GIS;2023-06-19T04:56:42+02:00;"{""coordinates"": [-0.37466634103184265, 39.48272664554628], ""type"": ""Point""}";39.48272664554628, -0.37466634103184265
172442;1;GIS;2023-06-19T04:56:42+02:00;GIS;2023-06-19T04:56:42+02:00;"{""coordinates"": [-0.38560782173327013, 39.4878024303355], ""type"": ""Point""}";39.4878024303355, -0.38560782173327013
172445;2;GIS;2023-06-19T04:56:42+02:00;GIS;2023-06-19T04:56:42+02:00;"{""coordinates"": [-0.38435039065197746, 39.489161079632396], ""type"": ""Point""}";39.489161079632396, -0.38435039065197746
172446;1;GIS;2023-06-19T04:56:42+02:00;GIS;2023-06-19T04:56:42+02:00;"{""coordinates"": [-0.38635218714771735, 39.48745054510818], ""type"": ""Point""}";39.48745054510818, -0.38635218714771735
172449;1;GIS;2023-06-19T04:56:42+02:00;GIS;2023-06-19T04:56:42+02:00;"{""coordinates"": [-0.38232661406201035, 39.48458163644304], ""type"": ""Point""}";39.48458163644304, -0.38232661406201035
172454;1;GIS;2023-06-19T04:56:42+02:00;GIS;2023-06-19T04:56:42+02:00;"{""coordinates"": [-0.39595736669317705, 39.495749548191505], ""type"": ""Point""}";39.495749548191505, -0.39595736669317705
172456;1;GIS;2023-06-19T04:56:42+02:00;GIS;2023-06-19T04:56:42+02:00;"{""coordinates"": [-0.39567590996434693, 39.493890338324285], ""type"": ""Point""}";39.493890338324285, -0.39567590996434693
172457;1;GIS;2023-06-19T04:56:42+02:00;GIS;2023-06-19T04:56:42+02:00;"{""coordinates"": [-0.39555487815105533, 39.494876899198644], ""type"": ""Point""}";39.494876899198644, -0.39555487815105533
172459;1;GIS;2023-06-19T04:56:42+02:00;GIS;2023-06-19T04:56:42+02:00;"{""coordinates"": [-0.3941214086683404, 39.49637911860913], ""type"": ""Point""}";39.49637911860913, -0.3941214086683404
172460;1;GIS;2023-06-19T04:56:42+02:00;GIS;2023-06-19T04:56:42+02:00;"{""coordinates"": [-0.3909494188050174, 39.48965787266069], ""type"": ""Point""}";39.48965787266069, -0.3909494188050174
172463;1;GIS;2023-06-19T04:56:42+02:00;GIS;2023-06-19T04:56:42+02:00;"{""coordinates"": [-0.3897027859859338, 39.49153172024103], ""type"": ""Point""}";39.49153172024103, -0.3897027859859338
172464;1;GIS;2023-06-19T04:56:42+02:00;GIS;2023-06-19T04:56:42+02:00;"{""coordinates"": [-0.38947254512755963, 39.491806135480935], ""type"": ""Point""}";39.491806135480935, -0.38947254512755963
172465;1;GIS;2023-06-19T04:56:42+02:00;GIS;2023-06-19T04:56:42+02:00;"{""coordinates"": [-0.3888241585037537, 39.491210805969935], ""type"": ""Point""}";39.491210805969935, -0.3888241585037537
172471;1;GIS;2023-06-19T04:56:42+02:00;GIS;2023-06-19T04:56:42+02:00;"{""coordinates"": [-0.39089461735582476, 39.492809502988024], ""type"": ""Point""}";39.492809502988024, -0.39089461735582476
172473;1;GIS;2023-06-19T04:56:42+02:00;GIS;2023-06-19T04:56:42+02:00;"{""coordinates"": [-0.38945779463600183, 39.493743414138876], ""type"": ""Point""}";39.493743414138876, -0.38945779463600183
172476;1;GIS;2023-06-19T04:56:42+02:00;GIS;2023-06-19T04:56:42+02:00;"{""coordinates"": [-0.3850481401381109, 39.492630535766914], ""type"": ""Point""}";39.492630535766914, -0.3850481401381109
172480;1;GIS;2023-06-19T04:56:42+02:00;GIS;2023-06-19T04:56:42+02:00;"{""coordinates"": [-0.39253677317817853, 39.494000256430894], ""type"": ""Point""}";39.494000256430894, -0.39253677317817853
172482;1;GIS;2023-06-19T04:56:42+02:00;GIS;2023-06-19T04:56:42+02:00;"{""coordinates"": [-0.39194286878822154, 39.49464112754585], ""type"": ""Point""}";39.49464112754585, -0.39194286878822154
172483;1;GIS;2023-06-19T04:56:42+02:00;GIS;2023-06-19T04:56:42+02:00;"{""coordinates"": [-0.39286061392255345, 39.494898492547954], ""type"": ""Point""}";39.494898492547954, -0.39286061392255345
172486;1;GIS;2023-06-19T04:56:42+02:00;GIS;2023-06-19T04:56:42+02:00;"{""coordinates"": [-0.39313238451438315, 39.496191126420946], ""type"": ""Point""}";39.496191126420946, -0.39313238451438315
172487;1;GIS;2023-06-19T04:56:42+02:00;GIS;2023-06-19T04:56:42+02:00;"{""coordinates"": [-0.40991202182316067, 39.46404223761649], ""type"": ""Point""}";39.46404223761649, -0.40991202182316067
