Carrer / Calle;OBJECTID;Nombre Places / Número Plazas;created_user;created_date;last_edited_user;last_edited_date;geo_shape;geo_point_2d
SANTIAGO RUSIiOL;256985;4;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.36715211064159686, 39.4959782009317], ""type"": ""Point""}";39.4959782009317, -0.36715211064159686
DOCTOR SANCHIS SIVERA;256987;5;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.3848302281814197, 39.46962282492569], ""type"": ""Point""}";39.46962282492569, -0.3848302281814197
DOCTOR SANCHIS SIVERA;256989;2;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.3850317244637998, 39.46953485664595], ""type"": ""Point""}";39.46953485664595, -0.3850317244637998
BLASCO IBAtEZ;256991;8;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.3604238452610338, 39.47808672179435], ""type"": ""Point""}";39.47808672179435, -0.3604238452610338
JOAQUIN BALLESTER;256998;2;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.3853874752068005, 39.48500109000547], ""type"": ""Point""}";39.48500109000547, -0.3853874752068005
MAESTRO BUENAVENTURA PASCUAL;257000;2;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.3570525942797665, 39.486192936814064], ""type"": ""Point""}";39.486192936814064, -0.3570525942797665
CREU ROJA;257006;2;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.4134201421753851, 39.4616009060672], ""type"": ""Point""}";39.4616009060672, -0.4134201421753851
PRIMADO REIG;257013;2;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.362681846295828, 39.4835537987695], ""type"": ""Point""}";39.4835537987695, -0.362681846295828
JOSE ESTEVE;257018;3;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.37372738882227546, 39.496209988624855], ""type"": ""Point""}";39.496209988624855, -0.37372738882227546
MARIANO DE CAVIA;257022;1;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.4052170126133025, 39.45243657268464], ""type"": ""Point""}";39.45243657268464, -0.4052170126133025
MONESTIR DE POBLET;257023;8;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.3936034081091898, 39.48520700737373], ""type"": ""Point""}";39.48520700737373, -0.3936034081091898
LLOMETES;257025;2;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.4131271886071257, 39.54299736584606], ""type"": ""Point""}";39.54299736584606, -0.4131271886071257
AGRUPACIO MUSICAL DE MASSARROJOS;257027;2;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.4117331716751093, 39.54485407863128], ""type"": ""Point""}";39.54485407863128, -0.4117331716751093
ARTES GRAFICAS;257030;4;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.3589074604394536, 39.475635404747976], ""type"": ""Point""}";39.475635404747976, -0.3589074604394536
SUECIA;257031;4;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.3593135835074491, 39.47477868454628], ""type"": ""Point""}";39.47477868454628, -0.3593135835074491
TRAGINERS;257032;12;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.40686179888232676, 39.459978073305166], ""type"": ""Point""}";39.459978073305166, -0.40686179888232676
PUERTO;257033;3;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.335993774811072, 39.461034422218916], ""type"": ""Point""}";39.461034422218916, -0.335993774811072
