Carrer / Calle;OBJECTID;Nombre Places / Número Plazas;created_user;created_date;last_edited_user;last_edited_date;geo_shape;geo_point_2d
BACHILLER;258057;4;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.36089073143580547, 39.4813705434881], ""type"": ""Point""}";39.4813705434881, -0.36089073143580547
BACHILLER;258058;4;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.36097296384154387, 39.48125354947227], ""type"": ""Point""}";39.48125354947227, -0.36097296384154387
JOSE MARIA MORTES LERMA;258060;4;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.4042036592230571, 39.46275313350821], ""type"": ""Point""}";39.46275313350821, -0.4042036592230571
BERNAT Y BALDOVI;258061;3;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.36485604379398484, 39.48000783405533], ""type"": ""Point""}";39.48000783405533, -0.36485604379398484
PROFESOR TAMARIT OLMOS;258065;3;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.3620652253032515, 39.48045120174321], ""type"": ""Point""}";39.48045120174321, -0.3620652253032515
MENENDEZ Y PELAYO;258067;4;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.36085078650551716, 39.4792938550619], ""type"": ""Point""}";39.4792938550619, -0.36085078650551716
MENENDEZ Y PELAYO;258069;4;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.3607274375712939, 39.47939828487376], ""type"": ""Point""}";39.47939828487376, -0.3607274375712939
MENENDEZ Y PELAYO;258071;4;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.359343470575429, 39.47899112366243], ""type"": ""Point""}";39.47899112366243, -0.359343470575429
MENENDEZ Y PELAYO;258073;8;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.3578110615445596, 39.47839753996369], ""type"": ""Point""}";39.47839753996369, -0.3578110615445596
GASCO OLIAG;258074;4;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.3574582389025207, 39.47815591991534], ""type"": ""Point""}";39.47815591991534, -0.3574582389025207
CURA BAU;258076;1;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.40400326850860807, 39.53965399416943], ""type"": ""Point""}";39.53965399416943, -0.40400326850860807
DUQUE DE MANDAS;258078;4;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.3692404958458579, 39.49367040813453], ""type"": ""Point""}";39.49367040813453, -0.3692404958458579
PINTOR MANUEL SIGUENZA;258079;3;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.33925846352662714, 39.42139671498835], ""type"": ""Point""}";39.42139671498835, -0.33925846352662714
ROSALES;258082;2;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.38710050448035555, 39.49176347656313], ""type"": ""Point""}";39.49176347656313, -0.38710050448035555
JESUS;258083;4;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.38879524875421384, 39.46009613930358], ""type"": ""Point""}";39.46009613930358, -0.38879524875421384
RAMIRO DE MAEZTU;258084;8;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.34940801025370133, 39.46779403942783], ""type"": ""Point""}";39.46779403942783, -0.34940801025370133
AVE MARIA;258096;1;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.4252372542192508, 39.50305653051296], ""type"": ""Point""}";39.50305653051296, -0.4252372542192508
CULLERA;258098;1;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.4264373829045498, 39.50271327107584], ""type"": ""Point""}";39.50271327107584, -0.4264373829045498
LINTERNA;258100;6;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.379325845779583, 39.472350292502455], ""type"": ""Point""}";39.472350292502455, -0.379325845779583
MARQUES DE MONTORTAL;258104;3;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.37472730465435933, 39.49214584011984], ""type"": ""Point""}";39.49214584011984, -0.37472730465435933
CID;258105;1;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.41403651545881237, 39.469174700600604], ""type"": ""Point""}";39.469174700600604, -0.41403651545881237
SAN JERONIMO;258107;4;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.3743444783075838, 39.497837251178915], ""type"": ""Point""}";39.497837251178915, -0.3743444783075838
MICER MASCO;258109;3;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.3611976698812502, 39.47499122666984], ""type"": ""Point""}";39.47499122666984, -0.3611976698812502
MICER MASCO;258110;3;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.3609339583231313, 39.47491604167449], ""type"": ""Point""}";39.47491604167449, -0.3609339583231313
RAFAEL TENES ESCRICH;258112;3;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.41646825637475215, 39.49975486258436], ""type"": ""Point""}";39.49975486258436, -0.41646825637475215
DOCTOR NICASIO BENLLOCH;258113;3;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.3879897038290601, 39.48704104361745], ""type"": ""Point""}";39.48704104361745, -0.3879897038290601
MADERAS;258118;4;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.3389626423613967, 39.46309411297679], ""type"": ""Point""}";39.46309411297679, -0.3389626423613967
JOAQUIN BALLESTER;258119;4;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.3862877322451781, 39.48471388205156], ""type"": ""Point""}";39.48471388205156, -0.3862877322451781
RAMIRO DE MAEZTU;258120;4;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.34940607212260283, 39.467609973227496], ""type"": ""Point""}";39.467609973227496, -0.34940607212260283
DOCTOR WAKSMAN;258127;4;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.3678254665036089, 39.45536152288695], ""type"": ""Point""}";39.45536152288695, -0.3678254665036089
CARLOS DINNBIER;258128;3;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.3970163482758898, 39.47726841479699], ""type"": ""Point""}";39.47726841479699, -0.3970163482758898
CAMPANAR;258129;4;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.3935017598923082, 39.47995321515162], ""type"": ""Point""}";39.47995321515162, -0.3935017598923082
CAMPANAR;258130;4;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.3942038432571161, 39.47847503883235], ""type"": ""Point""}";39.47847503883235, -0.3942038432571161
BILBAO;258137;4;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.37201387482012926, 39.48832426926804], ""type"": ""Point""}";39.48832426926804, -0.37201387482012926
AGUSTI CENTELLES OSSO (FOTOGRAF);258141;4;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.3731027604278283, 39.48846136566042], ""type"": ""Point""}";39.48846136566042, -0.3731027604278283
ISLA CABRERA;258143;4;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.3801627611226252, 39.44922905988749], ""type"": ""Point""}";39.44922905988749, -0.3801627611226252
COLON;258146;11;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.370517445560398, 39.47014074539397], ""type"": ""Point""}";39.47014074539397, -0.370517445560398
MENENDEZ Y PELAYO;258148;4;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.3572759186643149, 39.478236302903696], ""type"": ""Point""}";39.478236302903696, -0.3572759186643149
OLIVERETA;258152;3;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.39618298687056996, 39.47396619281958], ""type"": ""Point""}";39.47396619281958, -0.39618298687056996
CALLOSA DoEN SARRIA;258154;3;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.38782372599793946, 39.46206443764065], ""type"": ""Point""}";39.46206443764065, -0.38782372599793946
MOSSEN FENOLLAR;258156;3;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.3900339170254426, 39.46186399091053], ""type"": ""Point""}";39.46186399091053, -0.3900339170254426
VALLE DE LA BALLESTERA;258157;3;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.4037893738231341, 39.47845628738042], ""type"": ""Point""}";39.47845628738042, -0.4037893738231341
TAMARINDOS;258165;4;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.4023560801656568, 39.47786434937915], ""type"": ""Point""}";39.47786434937915, -0.4023560801656568
RUBEN VELA;258180;3;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.37412144036711675, 39.45566768625837], ""type"": ""Point""}";39.45566768625837, -0.37412144036711675
HONDURAS;258187;4;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.3451347674127314, 39.474454518788605], ""type"": ""Point""}";39.474454518788605, -0.3451347674127314
ALFREDO CANDEL (RECTOR PARROQUIA SANTA ANNA);258192;10;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.3558630249132424, 39.47073308638736], ""type"": ""Point""}";39.47073308638736, -0.3558630249132424
CHILE;258193;4;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.3566182813806862, 39.47082368991125], ""type"": ""Point""}";39.47082368991125, -0.3566182813806862
MANUEL CARBONERES;258197;2;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.33156568656604435, 39.445511150472875], ""type"": ""Point""}";39.445511150472875, -0.33156568656604435
ARQUITECTO SEGURA DE LAGO;258199;4;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.4042999269641066, 39.45552107827662], ""type"": ""Point""}";39.45552107827662, -0.4042999269641066
PINTOR FERRER CALATAYUD;258200;4;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.33548175087932, 39.46700079875029], ""type"": ""Point""}";39.46700079875029, -0.33548175087932
JOAQUIN BENLLOCH;258201;4;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.37559768788988374, 39.45227544627684], ""type"": ""Point""}";39.45227544627684, -0.37559768788988374
MARCONI;258202;3;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.4142431434505713, 39.46868042409433], ""type"": ""Point""}";39.46868042409433, -0.4142431434505713
LUZ;258203;1;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.41531036960688805, 39.467763253111734], ""type"": ""Point""}";39.467763253111734, -0.41531036960688805
JOSE MARIA BAYARRI;258210;4;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.4122346689458163, 39.46858862922479], ""type"": ""Point""}";39.46858862922479, -0.4122346689458163
GUILLEM DE CASTRO;258221;7;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.38295099765347684, 39.48011690764409], ""type"": ""Point""}";39.48011690764409, -0.38295099765347684
GUILLEM DE CASTRO;258238;6;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.38402905108613755, 39.47178734767848], ""type"": ""Point""}";39.47178734767848, -0.38402905108613755
SANTANDER;258240;4;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.38878407638668094, 39.45413288019565], ""type"": ""Point""}";39.45413288019565, -0.38878407638668094
NAVARRO REVERTER;258247;4;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.36601576618993725, 39.470816824812985], ""type"": ""Point""}";39.470816824812985, -0.36601576618993725
NAVARRO REVERTER;258248;3;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.3665671359007197, 39.471088043936064], ""type"": ""Point""}";39.471088043936064, -0.3665671359007197
ELIAS TORMO;258253;3;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.419708960525693, 39.50170365564378], ""type"": ""Point""}";39.50170365564378, -0.419708960525693
PIO IX;258254;3;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.3929467551150148, 39.445419110094214], ""type"": ""Point""}";39.445419110094214, -0.3929467551150148
MAESTRO GOZALBO;258257;2;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.3693539988877188, 39.465261514060806], ""type"": ""Point""}";39.465261514060806, -0.3693539988877188
SALAMANCA;258262;4;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.3649058496599482, 39.467069863956276], ""type"": ""Point""}";39.467069863956276, -0.3649058496599482
SALAMANCA;258266;4;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.36356024611284404, 39.46517137349845], ""type"": ""Point""}";39.46517137349845, -0.36356024611284404
FAVANELLA;258269;2;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.40783517073086645, 39.49399163458976], ""type"": ""Point""}";39.49399163458976, -0.40783517073086645
MORA DE RUBIELOS;258275;5;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.3854395039666199, 39.459051210025244], ""type"": ""Point""}";39.459051210025244, -0.3854395039666199
BARRACA;258278;3;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.3283481371578928, 39.47317029048194], ""type"": ""Point""}";39.47317029048194, -0.3283481371578928
CARLOS ROS;258282;2;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.327962530377317, 39.47052027281749], ""type"": ""Point""}";39.47052027281749, -0.327962530377317
ESCRIVA;258286;3;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.38461499087076634, 39.45795784270284], ""type"": ""Point""}";39.45795784270284, -0.38461499087076634
MEDICO ESTEVE;258288;3;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.38435340106362464, 39.45739939950666], ""type"": ""Point""}";39.45739939950666, -0.38435340106362464
JUAN DE AGUILO;258289;4;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.38857134092780604, 39.45664633041173], ""type"": ""Point""}";39.45664633041173, -0.38857134092780604
BURJASOT;258291;5;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.39648623552172646, 39.49540738113858], ""type"": ""Point""}";39.49540738113858, -0.39648623552172646
SIERRA MARTES;258301;2;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.3907995050383523, 39.48969701893907], ""type"": ""Point""}";39.48969701893907, -0.3907995050383523
GRABADOR JORDAN;258303;2;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.36814251045693364, 39.44251747043003], ""type"": ""Point""}";39.44251747043003, -0.36814251045693364
SAGUNTO;258305;4;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.3745569449414654, 39.485843517170686], ""type"": ""Point""}";39.485843517170686, -0.3745569449414654
MAGUNCIA;258306;5;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.40184199670090126, 39.465241421188814], ""type"": ""Point""}";39.465241421188814, -0.40184199670090126
ALEMANY;258314;3;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.3793697630002892, 39.4970736103939], ""type"": ""Point""}";39.4970736103939, -0.3793697630002892
JOSE AGUIRRE;258315;4;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.334289796324619, 39.461776020666285], ""type"": ""Point""}";39.461776020666285, -0.334289796324619
JOSE AGUIRRE;258317;4;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.3338862593208639, 39.46171362113091], ""type"": ""Point""}";39.46171362113091, -0.3338862593208639
SAN JOSE DE LA VEGA;258318;4;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.33494776640384877, 39.46201065437363], ""type"": ""Point""}";39.46201065437363, -0.33494776640384877
LEONES;258319;4;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.3487488081847051, 39.464961790750024], ""type"": ""Point""}";39.464961790750024, -0.3487488081847051
CIUDAD DEL APRENDIZ;258320;5;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.39052435615624403, 39.43992824260338], ""type"": ""Point""}";39.43992824260338, -0.39052435615624403
HIERROS;258322;4;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.33954191546781154, 39.46426936062301], ""type"": ""Point""}";39.46426936062301, -0.33954191546781154
SALAMANCA;258323;4;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.36236995104224756, 39.46347873005832], ""type"": ""Point""}";39.46347873005832, -0.36236995104224756
JACA;258325;4;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.37066137648291164, 39.48472122683308], ""type"": ""Point""}";39.48472122683308, -0.37066137648291164
SAN JUAN DE LA CRUZ;258326;3;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.373333766928678, 39.48437147885875], ""type"": ""Point""}";39.48437147885875, -0.373333766928678
CONVENTO CARMELITAS;258329;4;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.371654290253658, 39.48346301179518], ""type"": ""Point""}";39.48346301179518, -0.371654290253658
BILBAO;258332;2;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.37258095856957757, 39.4874702605591], ""type"": ""Point""}";39.4874702605591, -0.37258095856957757
SAGUNTO;258333;4;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.37488745700117854, 39.486350692205875], ""type"": ""Point""}";39.486350692205875, -0.37488745700117854
PINTOR RICARDO VERDE;258334;4;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.35953035242534287, 39.47202020609418], ""type"": ""Point""}";39.47202020609418, -0.35953035242534287
FINLANDIA;258335;3;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.3593029950716206, 39.471800766273546], ""type"": ""Point""}";39.471800766273546, -0.3593029950716206
ISLA CABRERA;258336;4;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.37899001357301976, 39.44897741692367], ""type"": ""Point""}";39.44897741692367, -0.37899001357301976
ALFONSO DE CORDOBA;258337;4;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.36001515836182796, 39.47663737752948], ""type"": ""Point""}";39.47663737752948, -0.36001515836182796
REINA DOMA GERMANA;258342;2;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.3635234942197003, 39.46485991680508], ""type"": ""Point""}";39.46485991680508, -0.3635234942197003
SALAMANCA;258343;2;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.36330130950103934, 39.46480444485935], ""type"": ""Point""}";39.46480444485935, -0.36330130950103934
REINA DOMA GERMANA;258344;2;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.3631965525285265, 39.46507967378507], ""type"": ""Point""}";39.46507967378507, -0.3631965525285265
SALAMANCA;258350;9;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.364211432768634, 39.46633365662683], ""type"": ""Point""}";39.46633365662683, -0.364211432768634
BURRIANA;258351;4;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.36391876524887856, 39.46626672258549], ""type"": ""Point""}";39.46626672258549, -0.36391876524887856
GASCO OLIAG;258354;3;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.3569669278879406, 39.47918859117238], ""type"": ""Point""}";39.47918859117238, -0.3569669278879406
BUEN ORDEN;258359;10;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.38772710712905095, 39.46860538026061], ""type"": ""Point""}";39.46860538026061, -0.38772710712905095
MENENDEZ Y PELAYO;258362;4;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.3557762219184242, 39.477792414425494], ""type"": ""Point""}";39.477792414425494, -0.3557762219184242
JUAN DE AGUILO;258363;3;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.38903434559070943, 39.456820900784976], ""type"": ""Point""}";39.456820900784976, -0.38903434559070943
ANDILLA;258364;1;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.4231421947627111, 39.503191630415955], ""type"": ""Point""}";39.503191630415955, -0.4231421947627111
REMOLCADOR;258369;4;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.38629231346310433, 39.483656163510226], ""type"": ""Point""}";39.483656163510226, -0.38629231346310433
MUSICO ANTONIO EXIMENO;258372;3;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.3314747678573246, 39.478485112074345], ""type"": ""Point""}";39.478485112074345, -0.3314747678573246
PINOS;258373;1;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.42507399691823433, 39.50157162758098], ""type"": ""Point""}";39.50157162758098, -0.42507399691823433
AVE MARIA;258375;1;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.4247844726565028, 39.50238790583625], ""type"": ""Point""}";39.50238790583625, -0.4247844726565028
AVE MARIA;258376;1;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.42487255644127436, 39.50235560654277], ""type"": ""Point""}";39.50235560654277, -0.42487255644127436
ANDILLA;258378;1;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.4242843334340097, 39.502694975271275], ""type"": ""Point""}";39.502694975271275, -0.4242843334340097
HONDURAS;258382;4;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.3444945928670234, 39.47429844509807], ""type"": ""Point""}";39.47429844509807, -0.3444945928670234
ACTOR ENRIQUE RAMBAL;258386;4;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.34204987604813497, 39.472894745979445], ""type"": ""Point""}";39.472894745979445, -0.34204987604813497
RIOJA;258389;2;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.3753501163296447, 39.49819783688173], ""type"": ""Point""}";39.49819783688173, -0.3753501163296447
CONDE DE TORREFIEL;258397;1;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.37693332296203347, 39.496521068706485], ""type"": ""Point""}";39.496521068706485, -0.37693332296203347
PADRE TOMAS MONTAtANA;258405;4;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.3522067876094462, 39.46314966028551], ""type"": ""Point""}";39.46314966028551, -0.3522067876094462
PLATA;258406;4;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.3616519653890229, 39.45721167524928], ""type"": ""Point""}";39.45721167524928, -0.3616519653890229
PLATA;258410;3;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.3616095001292764, 39.457412589257544], ""type"": ""Point""}";39.457412589257544, -0.3616095001292764
AYORA;258416;3;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.39226942176725416, 39.4660795213509], ""type"": ""Point""}";39.4660795213509, -0.39226942176725416
AYORA;258420;3;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.3934061272869963, 39.46463122304661], ""type"": ""Point""}";39.46463122304661, -0.3934061272869963
FRANCISCO DE LLANO;258423;4;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.3896932674439399, 39.46608865855074], ""type"": ""Point""}";39.46608865855074, -0.3896932674439399
